movie_wikipedia_id,book_wikidata_id
2205704,Q480
7379134,Q480
10117133,Q480
16233994,Q480
21447227,Q480
18920019,Q480
2969247,Q844
317647,Q844
166121,Q844
12252836,Q844
268833,Q844
156644,Q844
449547,Q844
6446036,Q844
10736919,Q1834
15912738,Q1834
29133741,Q1834
31207021,Q2222
36181791,Q2222
2804704,Q2870
24407246,Q4347
18735140,Q4347
24408141,Q4347
24407831,Q4347
24407182,Q4347
1064199,Q4784
21282769,Q2515
23820796,Q6511
24532496,Q6511
3369664,Q8275
242821,Q6911
21138275,Q6911
2205317,Q8258
2646805,Q8258
1649568,Q9184
36534974,Q9184
25176831,Q11829
4406314,Q11829
14788012,Q8258
27223546,Q11829
8785217,Q11880
11692389,Q11880
24862569,Q11880
76361,Q11831
33641119,Q11831
9644100,Q11831
10440784,Q11831
8055027,Q11831
8055250,Q11831
31323924,Q11831
26149260,Q12098
323715,Q8275
28826778,Q8275
2711926,Q8275
2254896,Q8275
31186339,Q11678
28740531,Q11336
7995974,Q16438
35771658,Q11859
10721471,Q11859
3677015,Q13912
2281450,Q13911
30857702,Q16438
27675112,Q16438
9574954,Q27321
3564394,Q22726
518687,Q22726
73497,Q18813
35406039,Q18796
5028461,Q18813
32314211,Q28172
43452,Q24323
9535065,Q26085
7668793,Q25551
1937414,Q25338
6446053,Q26541
15912142,Q26505
4084601,Q36097
29870577,Q37293
19596986,Q37293
22216,Q35160
3135310,Q35160
2711926,Q35160
13264461,Q35160
18361148,Q35160
23764067,Q38793
2681496,Q38213
30624551,Q29478
1591226,Q29478
16337176,Q32136
35581555,Q31285
21447563,Q29478
337740,Q41542
2280366,Q41542
27383411,Q41542
82423,Q41542
2199162,Q41542
1046559,Q41542
2055366,Q41542
3509741,Q41542
1048695,Q41542
651538,Q41542
8692493,Q41542
8695709,Q41542
8788175,Q41542
650540,Q41542
21193739,Q41542
4097843,Q41542
7870682,Q41542
3644034,Q41542
8668124,Q41542
8704400,Q41542
8792925,Q41542
8448350,Q41542
5792459,Q41542
667368,Q47209
858575,Q46887
1635428,Q40185
31232694,Q40205
667372,Q46751
9834441,Q46758
2696891,Q45735
31941988,Q46758
30888982,Q45192
6820503,Q45192
4092456,Q45192
5664795,Q45192
5663440,Q45192
30761608,Q45192
31159597,Q45192
31159267,Q45192
34402549,Q45192
28839700,Q45192
17578316,Q50857
1259297,Q50948
25947431,Q60220
667361,Q43361
32031763,Q43714
5798976,Q43891
10533451,Q43891
32933570,Q70784
1974576,Q70784
29747496,Q70784
2178908,Q70784
6703617,Q70784
4950989,Q70784
6309664,Q70784
12498480,Q70806
26178888,Q80038
5414895,Q70806
15125714,Q70806
31533871,Q70806
670407,Q80817
11071821,Q80771
447194,Q81240
3608663,Q81810
1908238,Q81689
25760216,Q61324
55601,Q72309
34099973,Q82737
26922095,Q82464
19308640,Q82464
8854150,Q82464
26746950,Q82464
1591226,Q82464
16194388,Q82428
204809,Q83755
33160189,Q83755
10107890,Q83797
24668194,Q83585
1930290,Q91926
13887546,Q53592
6390753,Q53592
26581256,Q53945
34763996,Q82464
15384528,Q82464
34764073,Q82464
11383001,Q91499
22806548,Q75840
2828905,Q92640
4515932,Q92582
62180,Q92640
2212695,Q92640
26209823,Q92640
5576958,Q92640
33593619,Q92640
212265,Q92640
31625764,Q95159
3671146,Q120288
17102867,Q119567
535453,Q119567
1488066,Q127149
1988806,Q127149
253511,Q117182
32233292,Q116122
7766704,Q112407
4138142,Q95029
25085416,Q106199
561315,Q130295
8711666,Q130295
3062551,Q130295
35771658,Q130295
20761031,Q130295
26057593,Q135515
11654754,Q140527
905409,Q140527
33146132,Q140527
28103347,Q140527
32492005,Q140527
27260560,Q140527
31790182,Q140527
4530423,Q140527
20951393,Q144569
28088301,Q138746
1582661,Q140527
12767159,Q140036
4316523,Q140527
28397585,Q140527
4968653,Q140527
26903632,Q140527
10691130,Q140016
13632871,Q140527
33872912,Q140527
24929382,Q137629
6138703,Q137308
15708208,Q137869
32832973,Q147787
11501271,Q147787
7364229,Q147787
8164826,Q147787
22268648,Q147787
10993685,Q146866
1059195,Q147787
24614652,Q146866
8936644,Q147787
18163650,Q147787
10993679,Q146866
10993682,Q146866
2613497,Q140793
28856125,Q144344
35883801,Q144344
4696764,Q140527
23687804,Q140527
5305695,Q140527
17652921,Q140527
12135919,Q152629
1374349,Q151919
34847418,Q152267
31953413,Q151883
4334606,Q150827
4705518,Q149993
33367792,Q151883
3644025,Q150827
73488,Q150827
442647,Q150827
1246394,Q150827
4037159,Q150827
2206376,Q150827
4896153,Q150827
1853749,Q150827
1785123,Q150827
8263211,Q150827
25913793,Q150827
4744688,Q150827
13947013,Q150827
34071817,Q150827
34890118,Q150827
36051342,Q164974
16247804,Q164974
16435078,Q164974
1219464,Q164974
18848055,Q153935
4836572,Q164974
19078391,Q164974
626916,Q164974
3803778,Q164883
2507687,Q164974
568666,Q163297
6727572,Q164974
6167400,Q164974
34998463,Q164974
17082393,Q163297
3082268,Q165318
20053106,Q165318
3680813,Q165520
23554647,Q165318
20777702,Q165318
3644538,Q165318
8612245,Q165318
22228417,Q165318
32358869,Q165318
36393278,Q165318
31025147,Q165318
9879767,Q165599
24174272,Q165318
28651451,Q165318
2649257,Q170583
1137578,Q170583
2649312,Q170583
2312056,Q170583
28368738,Q174596
29331842,Q174596
2122881,Q174596
18082866,Q174596
9782429,Q174596
16291052,Q174596
33029735,Q180736
1261542,Q180736
29822670,Q180736
21958457,Q180736
22810161,Q180736
18214445,Q180736
34515864,Q180736
22554371,Q180736
310436,Q180736
6243001,Q180736
5649709,Q181488
4077406,Q181488
23594997,Q181488
27947310,Q181488
5788437,Q172850
26790467,Q182961
20224734,Q182961
2648908,Q182961
2648856,Q182961
2648891,Q182961
1365505,Q183157
14373330,Q183157
2648735,Q182961
5266380,Q182961
20344778,Q183157
4903470,Q182961
5266424,Q182961
5794648,Q182502
23877330,Q169632
4791264,Q167906
1355085,Q169976
3840504,Q161531
2792417,Q161531
24180195,Q162235
28147761,Q179500
5813580,Q183565
5814148,Q183565
16658874,Q183565
5813769,Q183565
5813912,Q183565
1571097,Q185449
3239688,Q176470
23315698,Q178688
5344873,Q177487
24507760,Q178791
5422935,Q189811
32375661,Q188538
71415,Q190192
5230876,Q189811
20672258,Q191540
15470182,Q191380
1906459,Q191380
2975263,Q191380
2119021,Q191663
1591226,Q191380
402890,Q191380
4493967,Q191380
26198830,Q191380
19206451,Q191380
22798178,Q191380
17852005,Q191380
22798272,Q191380
8758843,Q185118
18625691,Q185118
23933831,Q185118
5189701,Q185118
5482994,Q185118
14592879,Q185118
21057974,Q185118
31581655,Q185118
10874751,Q185118
35883712,Q185118
61498,Q189811
7764924,Q189811
6805971,Q189811
29190660,Q189811
14277334,Q189378
5498919,Q189509
4647640,Q191949
4717522,Q200920
6900622,Q193417
23224691,Q192649
217819,Q193417
2095475,Q193417
15896033,Q193417
12273809,Q193417
33945312,Q193417
25907722,Q193417
9871454,Q191838
872497,Q191838
31608273,Q191838
4578771,Q191838
31025498,Q191838
28846223,Q191838
20152983,Q191838
33080028,Q191838
17828310,Q191838
34236028,Q191838
28103324,Q191838
7193964,Q191838
33498414,Q202975
23748828,Q202975
3823100,Q202975
29730492,Q202975
8683345,Q202975
14428739,Q202975
15112404,Q202975
31949635,Q202975
3684140,Q202975
10831021,Q202975
10707155,Q202975
9718646,Q207332
173941,Q208002
28373924,Q208622
4592959,Q207332
97758,Q206870
11077335,Q206870
4744645,Q206503
3671995,Q197243
8534163,Q194551
14254136,Q208460
2360464,Q208460
3672796,Q217352
8154771,Q217352
8763366,Q217352
2539442,Q217352
4851941,Q217352
4607980,Q212340
535335,Q213019
21678052,Q212473
10225485,Q211927
14705923,Q212495
25045707,Q213019
9281317,Q213019
18080137,Q213019
1982322,Q213019
22932514,Q213019
6411396,Q212495
10225164,Q211927
32310155,Q213019
10839638,Q219552
10839214,Q219552
10839407,Q219552
5334557,Q217352
2490751,Q217352
144774,Q217352
7120714,Q217352
2331380,Q214132
30951080,Q214371
7733814,Q214371
2313467,Q214132
6744353,Q214132
5105287,Q214132
7756743,Q214371
7757030,Q214371
33740907,Q214132
13572405,Q214132
7757334,Q214371
32677131,Q217352
27880897,Q217352
9879858,Q217352
3043270,Q217352
62180,Q220331
5576958,Q220331
212265,Q220331
1432855,Q210784
5724079,Q210784
4326162,Q210784
24691852,Q210784
2654186,Q218156
9617369,Q219457
9022958,Q219552
567508,Q219457
2257358,Q219552
34921126,Q219552
20963952,Q219457
29294553,Q219457
15296595,Q219552
15846302,Q219457
20119087,Q219457
24227498,Q215410
4350811,Q215983
10515970,Q217073
7514868,Q215410
29445957,Q215894
16673001,Q215410
30816560,Q215410
14222062,Q215410
28421266,Q215410
2638362,Q223880
24198818,Q223880
2654649,Q223880
20493792,Q224078
24884713,Q228119
20004559,Q232055
28272795,Q232153
105872,Q223880
871318,Q223688
30578175,Q238652
35702217,Q240617
13654305,Q235795
15100596,Q235795
2466773,Q243556
73875,Q243556
129644,Q243556
1880546,Q243556
8913555,Q241348
18409652,Q246436
97732,Q248096
3442415,Q247372
3822528,Q246732
18702162,Q223131
16160462,Q223131
18060610,Q223131
36017252,Q249242
30655401,Q248096
31880057,Q248096
2511602,Q251604
2480504,Q245194
29832307,Q245194
20877724,Q245847
17188716,Q245738
7189526,Q245194
19187604,Q245194
23720411,Q245194
19524001,Q245194
752155,Q268078
594219,Q268796
473253,Q268796
35295748,Q271697
14339420,Q271697
9358839,Q271697
20156384,Q271697
7696753,Q271764
7873210,Q271764
31347856,Q271764
22605967,Q250125
2071077,Q250123
308856,Q272506
1673325,Q272506
2957019,Q272506
308930,Q272506
8602643,Q272506
1591226,Q272506
16252026,Q272506
4029751,Q272506
1271371,Q272506
4121318,Q272506
11185511,Q272506
1202035,Q272506
2213107,Q274744
29176668,Q274744
21275415,Q261281
20181213,Q261281
4908352,Q261281
4646185,Q259168
17405162,Q268545
33042258,Q268545
8804043,Q268545
142426,Q274744
9979,Q266232
26551300,Q264757
2917039,Q265954
24915299,Q265546
4908353,Q264519
31009301,Q265546
5396289,Q252283
18149943,Q271697
2592742,Q253451
35295554,Q271697
10539303,Q271697
3434688,Q253925
25837529,Q271697
3340222,Q275880
5533243,Q284395
1794176,Q285209
12982230,Q284839
68047,Q305415
5479128,Q316826
9075293,Q286725
6251539,Q288020
1438861,Q286725
30830501,Q291328
21653695,Q289484
28025756,Q288020
1976777,Q291087
22265682,Q291328
6241797,Q288020
22946438,Q289770
23126212,Q287838
19062669,Q322156
5566250,Q321047
22332305,Q279676
3628560,Q278208
3097826,Q279676
7122662,Q276022
14149346,Q311449
1241597,Q314266
61519,Q308918
4902239,Q306619
7077556,Q308918
35771658,Q316069
14153517,Q313129
31189608,Q308918
4205606,Q323146
516463,Q332581
174251,Q332581
173944,Q332388
22274150,Q331656
3640544,Q333179
10332103,Q333179
28925569,Q331228
32508800,Q331106
9880146,Q371371
20699587,Q370952
3328301,Q371371
4738713,Q381756
694482,Q381753
3739855,Q326914
32449230,Q329111
12248886,Q326914
27509259,Q329989
23463534,Q326914
14586918,Q326914
18317095,Q328061
1162528,Q379913
5422414,Q379449
16875572,Q379015
307690,Q379286
24890661,Q379108
10877732,Q380831
6492828,Q379449
22630088,Q393142
17367576,Q384033
28839628,Q387480
28194449,Q386293
3644720,Q384635
16586081,Q387480
17556395,Q384635
22810764,Q339761
25765787,Q339761
154790,Q335315
23772138,Q339761
18832483,Q335315
21079738,Q336056
34025191,Q336056
34254755,Q336056
21135479,Q387480
34985844,Q387480
714228,Q396602
3499096,Q396204
13211189,Q402673
1067680,Q396602
23602088,Q402673
23718902,Q396602
5123642,Q421492
6446061,Q368432
20934648,Q367732
13087370,Q354058
26632998,Q354566
5716877,Q357606
28887804,Q351933
549902,Q428581
7027409,Q423658
19522049,Q423658
35811674,Q465360
3402751,Q465395
8615612,Q466123
30952655,Q374204
9034057,Q374098
10667973,Q376235
16091743,Q373536
13793582,Q375090
34657171,Q374098
4867859,Q446612
5308985,Q446612
80499,Q429806
9318746,Q444395
1172681,Q438298
2666581,Q431524
31322542,Q442296
20589049,Q429806
7223973,Q427663
3705395,Q426600
18241669,Q426538
3227969,Q464928
6296845,Q464921
36288894,Q464928
22228792,Q478463
563176,Q453720
1588930,Q457481
7031132,Q459303
1065214,Q451831
5479998,Q459667
27588976,Q459983
6108184,Q457289
622993,Q457977
62121,Q457977
8928152,Q454163
29586011,Q459667
14704654,Q459667
4762630,Q459842
24179103,Q482085
564947,Q482085
29454281,Q461303
34465253,Q464220
29822921,Q460661
2994014,Q463108
30518659,Q460661
28334626,Q460583
35767821,Q460519
16780485,Q460583
536009,Q472026
1136182,Q472194
2296721,Q474895
15703454,Q474523
1279798,Q472026
13911693,Q472194
1443000,Q471726
32529509,Q472194
946164,Q466288
1277918,Q466605
406339,Q466708
877220,Q466708
892031,Q466504
451062,Q466790
10160738,Q467254
36449156,Q467971
877225,Q466708
174560,Q466605
21565615,Q467971
7570243,Q467225
9378717,Q468071
4846576,Q466504
2378072,Q466708
5813580,Q471005
1186616,Q470937
29561419,Q471005
5055826,Q471005
6143174,Q469690
6961461,Q470044
15843010,Q470044
7741538,Q471066
16337176,Q469969
7438948,Q471005
5776856,Q471005
14144193,Q471005
5776416,Q471005
5776001,Q471005
29558436,Q478364
30431126,Q485480
2515369,Q483034
13990745,Q483034
16439706,Q483034
8819339,Q483034
1680070,Q483034
19268144,Q476871
31322483,Q476349
25231528,Q475589
24665904,Q476871
2880294,Q477508
21234681,Q477434
20994554,Q476871
36454546,Q477508
18505739,Q476871
19461317,Q476558
3588990,Q477508
35325521,Q483034
32456748,Q486602
24915299,Q500688
32181103,Q500688
23934336,Q500688
30750725,Q500688
14952561,Q501351
30753092,Q500688
21971275,Q501514
12501580,Q493574
9612710,Q493574
24490979,Q495166
15431228,Q493574
8809291,Q498561
26004759,Q498408
11436273,Q499396
21322024,Q497677
1428048,Q493574
23666739,Q493574
203841,Q492207
92684,Q488350
35291873,Q493574
33492450,Q492207
12967168,Q511143
31323938,Q510229
3630720,Q510850
1368785,Q519935
3887641,Q513036
17049621,Q513036
19096046,Q514002
8037429,Q513228
2175661,Q523076
781758,Q523076
2175640,Q523076
1971307,Q538390
3990322,Q538390
23946168,Q538390
15068907,Q538390
4918808,Q533575
8058697,Q533391
2008260,Q529329
27698678,Q531298
1821202,Q547731
21165486,Q547731
11789507,Q543773
35970614,Q543773
19096277,Q573765
16020948,Q574887
35094944,Q575813
11567914,Q576902
3793631,Q582825
24089186,Q582825
41528,Q552213
5569730,Q552815
13300665,Q551631
33899029,Q550049
35542027,Q551631
31620750,Q552238
7855965,Q551631
733927,Q585855
12663069,Q584423
3344455,Q565911
3344052,Q565911
2876631,Q569790
1367494,Q565638
4074374,Q567062
3344524,Q565911
666923,Q580361
11435243,Q581236
31330546,Q582811
28862784,Q577474
6997771,Q587945
6446062,Q603310
2300167,Q604418
34062565,Q604418
963986,Q592078
8778114,Q589868
8778124,Q592078
6982498,Q589868
27939556,Q588686
1702604,Q588531
17225987,Q588531
16285552,Q589841
3746,Q605249
3511234,Q606930
4488493,Q606465
33125941,Q604418
10638528,Q606644
593921,Q615137
23850715,Q615175
2080825,Q615807
14908305,Q614551
13950959,Q612511
177835,Q612836
5274232,Q612688
1291587,Q612836
25578024,Q612836
984462,Q612836
23145939,Q613121
7803431,Q618430
31306817,Q618430
15738012,Q616817
7074043,Q596874
16408176,Q595128
21199699,Q595056
5397050,Q599309
5396840,Q599309
36306987,Q597545
1572988,Q626663
10243437,Q625923
1899307,Q625923
31448553,Q625764
12172271,Q625923
30608539,Q625923
31866958,Q625474
4899791,Q623394
2310825,Q623394
8526754,Q623394
3600424,Q622303
32312042,Q622634
28833991,Q636812
3920193,Q611689
16881835,Q628410
104643,Q627383
23624157,Q628410
3759215,Q627333
92688,Q630460
2821933,Q627333
31820610,Q630508
31475065,Q630460
583407,Q634885
25113407,Q632047
253511,Q635050
6210675,Q635918
460052,Q647167
113452,Q646668
23609525,Q647379
3116758,Q652350
32045535,Q651753
2259030,Q655296
2422739,Q655701
1367451,Q655296
14034915,Q655296
1974729,Q655296
8523165,Q657215
35796862,Q655773
17858693,Q655296
3822650,Q649013
26015065,Q649409
30750975,Q649409
33002338,Q649409
23418073,Q649409
5936873,Q671859
9524860,Q637839
12634263,Q638201
1087247,Q639072
4967070,Q640513
992827,Q640785
2998375,Q639072
6446874,Q641842
5753996,Q640513
34312501,Q640513
29288670,Q640513
21660079,Q640513
20070131,Q670637
22278175,Q673620
7426998,Q673521
80405,Q674586
4340088,Q674832
7707787,Q674832
9907253,Q674832
10554740,Q674832
3129567,Q674832
19907490,Q674832
14627188,Q674832
5073426,Q674832
18176268,Q674832
649716,Q674832
22643293,Q674832
31989369,Q674832
1228937,Q678277
23135176,Q678288
28387289,Q678288
35734905,Q678832
157481,Q659731
8744262,Q658557
30037730,Q661017
7853164,Q661017
681931,Q677978
22094548,Q682733
31975802,Q675609
27492406,Q675609
4844617,Q714064
4372744,Q667004
2234324,Q665715
7383750,Q665715
4829230,Q665715
3387839,Q700288
10450776,Q699631
28369046,Q697415
21082409,Q697260
28368552,Q697415
28368904,Q697415
4410476,Q710445
8303428,Q707502
30470501,Q710681
6199099,Q706167
27504596,Q710681
1659954,Q692557
4230540,Q688919
4241594,Q692557
2507217,Q690389
23983874,Q688919
18613593,Q692350
26669004,Q714064
26270603,Q692988
22538938,Q687432
32921465,Q694245
6641931,Q734493
646009,Q736604
339403,Q734493
22188458,Q735148
26794989,Q733498
3947408,Q734493
21107874,Q734493
20774714,Q733498
5018573,Q742226
32552640,Q741883
1336308,Q723727
1796156,Q724196
28763748,Q725752
3081811,Q723727
4693134,Q727408
25689802,Q726535
5566179,Q727408
5226874,Q751574
28210952,Q751348
27388121,Q751574
14947020,Q727911
15643852,Q728622
1119784,Q732060
11716156,Q728312
31275330,Q731461
4053005,Q752439
19175234,Q752432
20494400,Q752432
2950304,Q702957
6313273,Q700483
5480913,Q718268
19875689,Q718268
5480364,Q718268
17595417,Q715804
21410691,Q714078
17494201,Q714078
33382022,Q715800
1524835,Q717178
422269,Q741013
5222282,Q741391
226515,Q739529
4908814,Q741033
5247725,Q739529
213015,Q737910
30473269,Q741407
24046280,Q739534
9880833,Q762206
255049,Q744221
657797,Q744221
28245273,Q743180
542964,Q744536
26738876,Q744557
3194438,Q753290
20003222,Q762206
68485,Q756866
6000889,Q759329
6000549,Q759329
15469761,Q767189
28330254,Q768605
9562999,Q769001
5169996,Q769001
24491618,Q769001
9563619,Q769001
2376252,Q769001
9563125,Q769001
10101998,Q764661
25559186,Q775917
89818,Q776177
5842075,Q772435
9035887,Q770895
21673036,Q769001
26261038,Q769001
1881015,Q781341
15233254,Q780407
3342195,Q785109
3555758,Q785487
4194975,Q785255
2509613,Q785255
5777111,Q785255
13281130,Q785255
12590515,Q785255
9710686,Q750670
13438813,Q750670
12178995,Q750670
160047,Q748075
21585020,Q750670
3210646,Q788777
24161254,Q786372
19104102,Q790276
7508621,Q795340
8351040,Q795340
31251730,Q796472
1128175,Q783017
26180524,Q784226
1695534,Q816016
1854000,Q779215
3229481,Q805878
1343342,Q816528
25628297,Q816528
15739815,Q814765
1577389,Q829934
6311923,Q830643
15080022,Q833775
5541530,Q829130
4835940,Q828296
36012788,Q837140
36466069,Q837140
13235461,Q835739
3071676,Q835505
26875642,Q835081
15497901,Q836187
1844854,Q837041
33834117,Q840974
15789552,Q840974
9263575,Q840974
10566880,Q841315
5465083,Q840974
16959056,Q840974
11760799,Q826428
16182808,Q828031
17687538,Q820862
16731651,Q822690
23704867,Q822850
3367826,Q842106
8098268,Q842480
1009041,Q837283
10811554,Q846175
5696825,Q845944
32456680,Q855801
5313,Q843234
3745503,Q845106
5028212,Q845889
5028092,Q845889
51906,Q849930
286266,Q848517
13138495,Q848612
12938853,Q847642
290970,Q849701
2374501,Q846970
14998554,Q848612
7573566,Q847642
18234023,Q848612
18164604,Q848612
14343606,Q847642
23310072,Q848381
22406095,Q847426
34420393,Q869725
8775362,Q869725
14565728,Q869725
35954378,Q869725
11156557,Q869725
5537069,Q874381
9377241,Q856274
7764230,Q880092
22483319,Q880092
31811736,Q880092
35778808,Q869725
10190365,Q869725
31855039,Q869725
26921164,Q869725
7865906,Q838776
12580152,Q840085
161901,Q837934
30108218,Q838151
4632411,Q837883
93559,Q862050
21913863,Q857313
887135,Q861017
4430420,Q860909
33605542,Q859873
7367283,Q863438
1290021,Q862050
75933,Q862050
1666594,Q863037
2055559,Q862050
1356628,Q862050
8864659,Q865211
33955612,Q863438
33181037,Q862050
25162403,Q863438
8883100,Q871016
4593920,Q870551
4593958,Q870551
2711663,Q870551
31835516,Q887062
1141483,Q892658
1367183,Q886016
3667955,Q892456
23091399,Q882451
34880861,Q880796
165330,Q884454
15172134,Q913001
12639817,Q909228
22304534,Q913576
19115862,Q914123
14881404,Q907568
45481,Q901356
3030582,Q907568
1721169,Q905449
9123604,Q905112
1721255,Q905449
13702809,Q905112
6949006,Q907568
36699915,Q901384
5103545,Q905449
33196041,Q902212
35919299,Q907568
26070363,Q907568
33535579,Q907568
9446046,Q907568
30006,Q897685
8073610,Q899334
3509188,Q898433
8068462,Q898795
19159312,Q899026
4472408,Q898795
23562827,Q893665
8075960,Q898795
12565373,Q898433
8075874,Q898795
27488151,Q898795
12565687,Q898433
12565531,Q898433
8068547,Q898795
8076234,Q898795
8076364,Q898795
25033662,Q898794
1925048,Q923551
6233834,Q925723
23501520,Q923663
370858,Q923416
1832887,Q927292
20889546,Q925855
3117439,Q914239
18158187,Q914123
7758136,Q917055
28856807,Q920590
5781218,Q919814
22644316,Q919067
3319336,Q917554
19118571,Q914123
5429460,Q934430
25244870,Q932888
5429235,Q934430
15187505,Q935935
1261599,Q934430
23322195,Q932306
4120837,Q936276
23129875,Q934430
